id	filename	md5	size	state
4f86cdd7-4064-4de2-98f2-e9cf32ba6531	4f86cdd7-4064-4de2-98f2-e9cf32ba6531/9a10d1f6-8804-44ae-af17-296dcbb3dbc3.wxs.aliquot_ensemble_masked.maf.gz	b7295c8c6334188e42940aca7ebd983e	1142	validated
4fec97cb-977a-4289-b316-2a05c2ed40de	4fec97cb-977a-4289-b316-2a05c2ed40de/1f196165-6a49-4236-8e74-94ec8adfac55.wxs.aliquot_ensemble_masked.maf.gz	eca7535fec091e682201d0b326eb4a9f	13645	validated
5124e04b-d844-4aed-85bd-0e77b7e89e22	5124e04b-d844-4aed-85bd-0e77b7e89e22/3264787b-05bd-4a9a-8ef2-da9a93a15195.wxs.aliquot_ensemble_masked.maf.gz	3aca70aad4ee7cfe157028dd93a6a21a	18571	validated
51952aee-a698-4be2-970d-b5e9e8b5972b	51952aee-a698-4be2-970d-b5e9e8b5972b/fb7a8221-adb9-4140-a41a-2d2c2f6ecaec.wxs.aliquot_ensemble_masked.maf.gz	b58593f04f6ab54aa9f4d4fb0b25d327	27803	validated
523fa9b3-0d1a-47fc-8de9-69d81ded6828	523fa9b3-0d1a-47fc-8de9-69d81ded6828/452f682b-a57e-4a66-aa82-4a7431cef326.wxs.aliquot_ensemble_masked.maf.gz	d555e8ecb0be9f7f2699023b166dcfba	23673	validated
52a5d65a-6ff0-4e05-a4e2-aeafad7a8f03	52a5d65a-6ff0-4e05-a4e2-aeafad7a8f03/e8ad5661-e2c0-4f83-b455-d6b6ced53130.wxs.aliquot_ensemble_masked.maf.gz	48727b281ecc957c831e4af4853ccbe0	18541	validated
5977471a-ea7f-40b4-a02d-d9a7ee95b24e	5977471a-ea7f-40b4-a02d-d9a7ee95b24e/2b253efa-6aaf-408f-830c-4e24eb2d390e.wxs.aliquot_ensemble_masked.maf.gz	80c43d0eb17d3d4875132d254bc678e1	18025	validated
59db2ebf-3469-481c-aede-128b763fd3d0	59db2ebf-3469-481c-aede-128b763fd3d0/2a46cd30-2263-47dd-8185-905eac78d1cc.wxs.aliquot_ensemble_masked.maf.gz	18e11480fb5fc510dc5f116248b7d840	15705	validated
59fc3724-01a0-4d19-90ea-d6b6944e5ae5	59fc3724-01a0-4d19-90ea-d6b6944e5ae5/473d1878-607d-4b4a-88c8-b3551b24196a.wxs.aliquot_ensemble_masked.maf.gz	5515fb3b6d6713db600b79e9d308b741	20157	validated
5a6907f7-f3b0-4dd1-b6c1-ea72ffdf03ec	5a6907f7-f3b0-4dd1-b6c1-ea72ffdf03ec/0bb9f406-0159-4785-b97f-21adf21947b3.wxs.aliquot_ensemble_masked.maf.gz	4d84e1491501007e81ede4b4027b1503	18697	validated
5af0a410-30e3-49b4-bc61-c99a0be88bdf	5af0a410-30e3-49b4-bc61-c99a0be88bdf/98eafe13-2484-4316-88ca-a50a4d33d3cc.wxs.aliquot_ensemble_masked.maf.gz	a9797ac8fe118276ce5c4f8d82b5954a	33830	validated
5b865b50-0635-4e13-9405-65ac2540402c	5b865b50-0635-4e13-9405-65ac2540402c/9701ef15-c1ce-4f39-b858-9ac93ccb64d3.wxs.aliquot_ensemble_masked.maf.gz	bc0520fad90d0884a90f1fbb7f8b4448	7247	validated
5f47d1b0-7752-4ee4-8654-891e883c20e6	5f47d1b0-7752-4ee4-8654-891e883c20e6/a8286804-1ba2-4a26-96f6-93cc6a74590e.wxs.aliquot_ensemble_masked.maf.gz	cc5d5285246fa10e012a4bd3e0ba00dd	15833	validated
5fb06483-8b79-4346-ae8a-72346f78b8db	5fb06483-8b79-4346-ae8a-72346f78b8db/a799fdf8-998f-4385-afb8-d3acb484e1ad.wxs.aliquot_ensemble_masked.maf.gz	7f0a47245829cc8b05efe2d447abfe13	16864	validated
602887b0-6c89-404b-9564-b500321b4990	602887b0-6c89-404b-9564-b500321b4990/54a1e78c-5dcd-4d7f-aee6-c82165fdd655.wxs.aliquot_ensemble_masked.maf.gz	b44bf4230a0ede075cc70ca03ad53036	10669	validated
625f46f2-90a7-42a4-bff5-8ef4c55136c2	625f46f2-90a7-42a4-bff5-8ef4c55136c2/331b1a0a-bd92-4755-a5b8-d65ea51ea96e.wxs.aliquot_ensemble_masked.maf.gz	956fb200790a335498e2217b9eee35db	28378	validated
63e5cf9c-3fa8-4c17-bc2e-efbde8af2c1d	63e5cf9c-3fa8-4c17-bc2e-efbde8af2c1d/65b65bac-d06f-4b54-8733-ad60f19565c2.wxs.aliquot_ensemble_masked.maf.gz	2b3fa57373ccba8b7ac3d0bb538d5909	25943	validated
67d8f2a1-d504-4260-bfed-d9efcea49201	67d8f2a1-d504-4260-bfed-d9efcea49201/e9f934fa-3093-446b-8108-ee6c7a6d00a9.wxs.aliquot_ensemble_masked.maf.gz	f5a006e82b9e225c5a540dffd581330e	19202	validated
6900dee1-19be-423a-9d4c-61eb674e06e2	6900dee1-19be-423a-9d4c-61eb674e06e2/e1eba918-4cbd-4528-bb81-b762d433ba58.wxs.aliquot_ensemble_masked.maf.gz	cdd1ddaeec5bd9d1b146f04db569a53e	2734	validated
6acfe709-5744-4d55-bb64-35102d835167	6acfe709-5744-4d55-bb64-35102d835167/de3f7f52-207b-43ac-a749-23ad6b039d93.wxs.aliquot_ensemble_masked.maf.gz	b359221778de382fcfe3900d7872d54d	41265	validated
6c4ee6a7-82fd-4d65-90e4-7eab09da66bc	6c4ee6a7-82fd-4d65-90e4-7eab09da66bc/d25a70bc-9107-43d2-bd4b-584c04ecb281.wxs.aliquot_ensemble_masked.maf.gz	c78efb464798aed2cbded4349dbe0574	6418	validated
6c6a01cd-9192-4b1c-bec9-30e9b3c04b12	6c6a01cd-9192-4b1c-bec9-30e9b3c04b12/afee10b2-71ce-4188-aeab-77d9fae5d142.wxs.aliquot_ensemble_masked.maf.gz	5c008f42804dec20d1bc1f5737ea02d6	26321	validated
6f75ab20-d224-4ffd-abbc-ded0e6b06740	6f75ab20-d224-4ffd-abbc-ded0e6b06740/9b952b63-a8c1-401f-994d-bb2ababede4a.wxs.aliquot_ensemble_masked.maf.gz	5f054939c480e2b14304fb4ab89dda3a	9556	validated
703cc132-52b0-49f5-ab47-e7c0c78c5db3	703cc132-52b0-49f5-ab47-e7c0c78c5db3/a13597cb-d825-406a-96ba-d58af981464f.wxs.aliquot_ensemble_masked.maf.gz	2ed131a70e6e70cfcc0a61d33dcc8bff	2189	validated
